cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,model_id,fold
PAIRED_B0_technical_control,S5,42040,42130,2018-02-14T01:05:00,2018-02-14T02:35:00,2018-02-14T01:05:00,2018-02-14T02:35:00,20,1329.6,1332.26,5.667071428571405,6.974857142857115,timeout,False,2.660000000000082,30.0,False,5.0,0.3656429188594895,0.31753200848324237,0.3106590212866357,1.0,,13.49769177533548,4.285949179310017,964.1208410953915,968.4067902747015,True,B0_technical_control_S5_000010,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,46184,46230,2018-02-19T01:10:00,2018-02-19T01:56:00,2018-02-19T01:10:00,2018-02-19T01:56:00,23,1349.27,1347.7317142857144,1.5,1.5382857142856925,stop_loss,False,-1.538285714285621,30.0,False,5.0,-0.83680447622004,-1.0271992539632813,-1.0543985079266014,1.0,,13.557695063845822,-13.926454255044089,968.4067902747015,954.4803360196574,False,B0_technical_control_S5_000011,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,49956,49974,2018-02-21T22:05:00,2018-02-21T22:23:00,2018-02-21T22:05:00,2018-02-21T22:23:00,26,1323.69,1325.2407142857144,1.5507142857142477,1.9085714285713817,take_profit,False,1.5507142857143208,30.0,False,5.0,0.7021345407503542,0.5436610608020973,0.5210219922380607,1.0,,13.362724704275205,7.2647930879326506,954.4803360196574,961.7451291075901,True,B0_technical_control_S5_000012,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,52830,52834,2018-02-26T01:00:00,2018-02-26T01:04:00,2018-02-26T01:00:00,2018-02-26T01:04:00,27,1328.04,1329.54,1.5,1.8365714285714212,take_profit,False,1.5,30.0,False,5.0,0.7020593741642175,0.5382455201925668,0.5148435410537595,1.0,,13.46443180750626,7.247170102328549,961.7451291075901,968.9922992099187,True,B0_technical_control_S5_000013,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,59731,59758,2018-03-05T01:02:00,2018-03-05T01:29:00,2018-03-05T01:02:00,2018-03-05T01:29:00,29,1323.98,1322.1457142857143,1.5,1.8342857142857352,stop_loss,False,-1.83428571428567,30.0,False,5.0,-0.8594377510039869,-1.0234270414992999,-1.0468540829986304,1.0,,13.56589218893886,-13.88370090822416,968.9922992099187,955.1085983016945,False,B0_technical_control_S5_000014,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,77493,77512,2018-03-21T20:16:00,2018-03-21T20:35:00,2018-03-21T20:16:00,2018-03-21T20:35:00,31,1325.89,1322.2900000000002,2.9250000000000003,3.6,stop_loss,False,-3.599999999999909,30.0,False,5.0,-0.9230769230768998,-1.0128205128204895,-1.0256410256410022,1.0,,13.371520376223724,-13.542950124636537,955.1085983016945,941.565648177058,False,B0_technical_control_S5_000015,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,80414,80428,2018-03-26T01:00:00,2018-03-26T01:14:00,2018-03-26T01:00:00,2018-03-26T01:14:00,32,1347.1,1348.6,1.5,1.7839999999999887,take_profit,False,1.5,30.0,False,5.0,0.7197696737044186,0.5518234165067208,0.527831094049907,1.0,,13.181919074478813,7.27409161979401,941.565648177058,948.8397397968521,True,B0_technical_control_S5_000016,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,85935,86025,2018-04-02T01:03:00,2018-04-02T02:33:00,2018-04-02T01:03:00,2018-04-02T02:33:00,34,1325.36,1327.32,3.615857142857127,4.450285714285695,timeout,False,1.9600000000000364,30.0,False,5.0,0.4126067604956187,0.3389269818356881,0.3284012991699838,1.0,,13.28375635715593,4.502223449571494,948.8397397968521,953.3419632464236,True,B0_technical_control_S5_000017,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220615,220624,2018-08-16T03:31:00,2018-08-16T03:40:00,2018-08-16T03:31:00,2018-08-16T03:40:00,41,1167.8,1166.392,1.5,1.4079999999999668,stop_loss,False,-1.4079999999999018,30.0,False,5.0,-0.824355971896914,-1.0292740046838031,-1.0585480093676445,0.5,live_rolling_pf,6.673393742724965,-6.868750702406358,953.3419632464236,946.4732125440172,False,B0_technical_control_S5_000018,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220639,220646,2018-08-16T03:55:00,2018-08-16T04:02:00,2018-08-16T03:55:00,2018-08-16T04:02:00,43,1165.06,1166.8595714285714,1.7995714285714177,2.2148571428571295,take_profit,False,1.7995714285714257,30.0,False,5.0,0.7155760054533088,0.5764030902067732,0.5565212451715538,0.5,live_post_loss_cap;live_rolling_pf,6.62531248780812,3.8188505915581246,946.4732125440172,950.2920631355753,True,B0_technical_control_S5_000019,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220647,220651,2018-08-16T04:03:00,2018-08-16T04:07:00,2018-08-16T04:03:00,2018-08-16T04:07:00,43,1167.13,1165.538,1.5,1.5920000000000074,stop_loss,False,-1.5920000000000982,30.0,False,5.0,-0.8414376321353552,-1.0264270613108302,-1.0528541226216122,0.5,live_post_loss_cap;live_rolling_pf,6.652044441949027,-6.827838428258781,950.2920631355753,943.4642247073165,False,B0_technical_control_S5_000020,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220666,220670,2018-08-16T04:22:00,2018-08-16T04:26:00,2018-08-16T04:22:00,2018-08-16T04:26:00,44,1166.26,1164.9514285714286,1.5,1.3085714285714338,stop_loss,False,-1.3085714285714403,30.0,False,5.0,-0.8134991119005375,-1.031083481349915,-1.062166962699826,0.5,live_post_loss_cap;live_rolling_pf,6.604249572951216,-6.809532641382229,943.4642247073165,936.6546920659342,False,B0_technical_control_S5_000021,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220685,220687,2018-08-16T04:41:00,2018-08-16T04:43:00,2018-08-16T04:41:00,2018-08-16T04:43:00,45,1168.72,1170.22,1.5,1.4708571428571304,take_profit,False,1.5,30.0,False,5.0,0.8470474346563467,0.6494030332365324,0.6211681187479876,0.5,live_post_loss_cap;live_rolling_pf,6.5565828444615395,4.257864786859935,936.6546920659342,940.9125568527942,True,B0_technical_control_S5_000022,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,220688,220692,2018-08-16T04:44:00,2018-08-16T04:48:00,2018-08-16T04:44:00,2018-08-16T04:48:00,45,1170.43,1168.9260000000002,1.5,1.5039999999999836,stop_loss,False,-1.5039999999999054,30.0,False,5.0,-0.8337028824833255,-1.0277161862527286,-1.0554323725055004,0.5,live_post_loss_cap;live_rolling_pf,6.586387897969559,-6.768937451682402,940.9125568527942,934.1436194011118,False,B0_technical_control_S5_000023,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,261257,261259,2018-09-26T22:00:00,2018-09-26T22:02:00,2018-09-26T22:00:00,2018-09-26T22:02:00,54,1198.01,1196.21,1.5,1.800000000000026,stop_loss,False,-1.7999999999999545,30.0,False,5.0,-0.8571428571428249,-1.0238095238094895,-1.047619047619013,0.5,live_rolling_pf,6.539005335807783,-6.694695939041077,934.1436194011118,927.4489234620708,False,B0_technical_control_S5_000024,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,322231,322232,2018-11-28T19:09:00,2018-11-28T19:10:00,2018-11-28T19:09:00,2018-11-28T19:10:00,56,1223.0,1224.5,1.5,1.807999999999941,take_profit,False,1.5,26.0,True,5.0,0.7253384912959588,0.5754352030947939,0.5512572533849287,0.5,live_rolling_pf,6.492142464234496,3.735807317427113,927.4489234620708,931.1847307794978,True,B0_technical_control_S5_000025,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,322233,322238,2018-11-28T19:11:00,2018-11-28T19:16:00,2018-11-28T19:11:00,2018-11-28T19:16:00,56,1225.97,1223.7140000000002,1.8329999999999587,2.255999999999949,stop_loss,False,-2.255999999999858,16.0,True,5.0,-0.933774834437047,-1.0206953642383734,-1.0413907284767843,0.5,live_rolling_pf,6.518293115456485,-6.653191565693339,931.1847307794978,924.5315392138045,False,B0_technical_control_S5_000026,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,466295,466384,2019-05-01T01:37:00,2019-05-01T03:07:00,2019-05-01T01:37:00,2019-05-01T03:07:00,63,1282.86,1283.52,1.5,0.6,timeout,False,0.6600000000000819,27.0,True,5.0,0.7586206896552665,0.3908045977012435,0.3333333333334274,0.5,live_rolling_pf,6.471720774496632,2.529178233711936,924.5315392138045,927.0607174475165,True,B0_technical_control_S5_000027,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,515824,515830,2019-06-20T04:18:00,2019-06-20T04:24:00,2019-06-20T04:18:00,2019-06-20T04:24:00,67,1375.19,1378.8745714285715,3.6845714285714557,4.5348571428571764,take_profit,False,3.6845714285714166,20.0,True,5.0,0.7781800627564486,0.7253801593048439,0.714820178614523,0.5,live_rolling_pf,6.4894250221326155,4.707300156351397,927.0607174475165,931.7680176038679,True,B0_technical_control_S5_000028,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,518391,518397,2019-06-24T01:08:00,2019-06-24T01:14:00,2019-06-24T01:08:00,2019-06-24T01:14:00,68,1402.47,1403.97,1.5,1.5371428571427586,take_profit,False,1.5,33.0,True,5.0,0.8033664881408228,0.5998469778118144,0.573068094873787,0.5,live_rolling_pf,6.522376123227075,3.9124276056696994,931.7680176038679,935.6804452095375,True,B0_technical_control_S5_000029,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,518427,518430,2019-06-24T01:44:00,2019-06-24T01:47:00,2019-06-24T01:44:00,2019-06-24T01:47:00,70,1403.79,1405.506,1.7160000000000228,2.112000000000028,take_profit,False,1.7160000000001219,29.0,True,5.0,0.7144046627810582,0.5728559533722338,0.5520399666944655,0.5,live_rolling_pf,6.549763116466763,3.752070794445861,935.6804452095375,939.4325160039834,True,B0_technical_control_S5_000030,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,520930,520934,2019-06-25T20:28:00,2019-06-25T20:32:00,2019-06-25T20:28:00,2019-06-25T20:32:00,71,1414.0,1416.4124285714286,2.412428571428531,2.9691428571428076,take_profit,False,2.4124285714285634,19.0,True,5.0,0.763633897078783,0.6876639233065108,0.6718368454372875,0.5,live_rolling_pf,6.576027612027884,4.5220969474590405,939.4325160039834,943.9546129514425,True,B0_technical_control_S5_000031,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,525295,525304,2019-07-01T01:18:00,2019-07-01T01:27:00,2019-07-01T01:18:00,2019-07-01T01:27:00,74,1391.69,1394.2584285714286,2.5684285714286,3.1611428571428926,take_profit,False,2.5684285714285124,32.0,True,5.0,0.7378118844385836,0.6315249507550653,0.6171618516086439,0.5,live_rolling_pf,6.607682290660098,4.172916233214235,943.9546129514425,948.1275291846567,True,B0_technical_control_S5_000032,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,525310,525327,2019-07-01T01:33:00,2019-07-01T01:50:00,2019-07-01T01:33:00,2019-07-01T01:50:00,75,1392.97,1394.47,1.5,1.657142857142805,take_profit,False,1.5,42.0,True,5.0,0.7221458046767719,0.4958734525447167,0.4718019257221576,0.5,live_rolling_pf,6.636892704292597,3.2910588994464116,948.1275291846567,951.4185880841031,True,B0_technical_control_S5_000033,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,525462,525463,2019-07-01T04:05:00,2019-07-01T04:06:00,2019-07-01T04:05:00,2019-07-01T04:06:00,77,1392.04,1393.54,1.5,1.554285714285704,take_profit,False,1.5,16.0,True,5.0,0.8750000000000052,0.7525000000000045,0.7233333333333377,0.5,live_rolling_pf,6.659930116588722,5.011597412733043,951.4185880841031,956.4301854968362,True,B0_technical_control_S5_000034,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,526241,526244,2019-07-01T17:04:00,2019-07-01T17:07:00,2019-07-01T17:04:00,2019-07-01T17:07:00,79,1389.96,1391.46,1.5,1.3577142857142983,take_profit,False,1.5,19.0,True,5.0,0.969171127930581,0.8141037474616881,0.7817980431973354,0.5,live_rolling_pf,6.695011298477853,5.450433787389163,956.4301854968362,961.8806192842254,True,B0_technical_control_S5_000035,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,526250,526260,2019-07-01T17:13:00,2019-07-01T17:23:00,2019-07-01T17:13:00,2019-07-01T17:23:00,80,1390.06,1391.56,1.5,1.689142857142932,take_profit,False,1.5,21.0,True,5.0,0.7898299984955307,0.6529261320896388,0.626598465473121,0.5,live_rolling_pf,6.733164334989578,4.39625894596865,961.8806192842254,966.276878230194,True,B0_technical_control_S5_000036,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,526308,526315,2019-07-01T18:11:00,2019-07-01T18:18:00,2019-07-01T18:11:00,2019-07-01T18:18:00,81,1393.68,1392.1028571428571,1.5,1.577142857142852,stop_loss,False,-1.577142857142917,17.0,True,5.0,-0.9026982829109118,-1.0286181520850741,-1.057236304170111,0.5,live_rolling_pf,6.763938147611358,-6.957509558213735,966.276878230194,959.3193686719803,False,B0_technical_control_S5_000037,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,526842,526932,2019-07-02T04:06:00,2019-07-02T05:36:00,2019-07-02T04:06:00,2019-07-02T05:36:00,82,1390.16,1389.7,1.5,1.2479999999999825,timeout,False,-0.4600000000000364,20.0,True,5.0,-0.3176795580110787,-0.49033149171273827,-0.5248618784530702,0.5,live_rolling_pf,6.715235580703863,-3.292691479488981,959.3193686719803,956.0266771924913,False,B0_technical_control_S5_000038,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,527716,527718,2019-07-02T18:40:00,2019-07-02T18:42:00,2019-07-02T18:40:00,2019-07-02T18:42:00,83,1403.31,1401.7557142857142,1.5,1.554285714285652,stop_loss,False,-1.5542857142856974,20.0,True,5.0,-0.8859934853420414,-1.0285016286645219,-1.0570032573290182,0.5,live_rolling_pf,6.69218674034744,-6.882924961774459,956.0266771924913,949.1437522307168,False,B0_technical_control_S5_000039,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,527927,528008,2019-07-02T22:11:00,2019-07-02T23:32:00,2019-07-02T22:11:00,2019-07-02T23:32:00,84,1413.91,1415.5730714285714,1.6630714285714574,2.0468571428571782,take_profit,False,1.6630714285713566,22.0,True,5.0,0.7336463322409449,0.6145386942273344,0.5924817242248139,0.5,live_rolling_pf,6.644006265615018,4.0829989349092815,949.1437522307168,953.2267511656261,True,B0_technical_control_S5_000040,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,528051,528056,2019-07-03T01:16:00,2019-07-03T01:21:00,2019-07-03T01:16:00,2019-07-03T01:21:00,85,1433.9,1430.548,2.723500000000057,3.35200000000007,stop_loss,False,-3.352000000000089,47.0,True,5.0,-0.8770277341705985,-1.0130821559393035,-1.0261643118786021,0.5,live_rolling_pf,6.672587258159383,-6.759879085189233,953.2267511656261,946.4668720804368,False,B0_technical_control_S5_000041,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,528086,528089,2019-07-03T01:51:00,2019-07-03T01:54:00,2019-07-03T01:51:00,2019-07-03T01:54:00,88,1424.94,1426.8398571428572,1.8998571428571462,2.3382857142857185,take_profit,False,1.8998571428571722,29.0,True,5.0,0.7228503098162944,0.5934884226546465,0.5744646157191101,0.5,live_post_loss_cap;live_rolling_pf,6.625268104563058,3.932019917041269,946.4668720804368,950.3988919974781,True,B0_technical_control_S5_000042,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,534330,534341,2019-07-09T18:04:00,2019-07-09T18:15:00,2019-07-09T18:04:00,2019-07-09T18:15:00,91,1398.01,1396.4968571428572,1.5,1.5131428571429102,stop_loss,False,-1.5131428571428387,20.0,True,5.0,-0.8832555036690747,-1.0291861240826792,-1.0583722481654,0.5,live_rolling_pf,6.652792243982347,-6.8469614639115015,950.3988919974781,943.5519305335666,False,B0_technical_control_S5_000043,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,556921,556941,2019-08-01T04:05:00,2019-08-01T04:25:00,2019-08-01T04:05:00,2019-08-01T04:25:00,96,1408.6,1410.1,1.5,1.3325714285714119,take_profit,False,1.5,21.0,True,5.0,0.9724022967216257,0.8038525652898773,0.7714391553991563,0.5,live_rolling_pf,6.6048635137349665,5.309336478905365,943.5519305335666,948.861267012472,True,B0_technical_control_S5_000044,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,559714,559714,2019-08-05T04:41:00,2019-08-05T04:41:00,2019-08-05T04:41:00,2019-08-05T04:41:00,98,1449.25,1450.75,1.5,1.7131428571428584,take_profit,False,1.5,22.0,True,5.0,0.7759385161099611,0.636269583210168,0.6104049660065026,0.5,live_rolling_pf,6.642028869087304,4.2261209402040825,948.861267012472,953.0873879526761,True,B0_technical_control_S5_000045,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,559715,559722,2019-08-05T04:42:00,2019-08-05T04:49:00,2019-08-05T04:42:00,2019-08-05T04:49:00,98,1450.59,1448.6402857142857,1.584142857142873,1.9497142857143055,stop_loss,False,-1.949714285714208,23.0,True,5.0,-0.8944815834315986,-1.0229387862104675,-1.04587757242098,1.0,,13.343223431337465,-13.649300780987417,953.0873879526761,939.4380871716886,False,B0_technical_control_S5_000046,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,562456,562460,2019-08-07T04:25:00,2019-08-07T04:29:00,2019-08-07T04:25:00,2019-08-07T04:29:00,100,1482.38,1483.9613571428572,1.5813571428571402,1.946285714285711,take_profit,False,1.5813571428570867,25.0,True,5.0,0.7200143098737884,0.5834200598412658,0.560654351502512,0.5,live_rolling_pf,6.576066610201821,3.836609175244096,939.4380871716886,943.2746963469327,True,B0_technical_control_S5_000047,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,562461,562466,2019-08-07T04:30:00,2019-08-07T04:35:00,2019-08-07T04:30:00,2019-08-07T04:35:00,100,1483.56,1485.2527857142857,1.692785714285737,2.0834285714285996,take_profit,False,1.6927857142857192,25.0,True,5.0,0.725449981633396,0.5968838006611924,0.5754561038324918,0.5,live_rolling_pf,6.602922874428529,3.9411777007616258,943.2746963469327,947.2158740476943,True,B0_technical_control_S5_000048,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,562467,562469,2019-08-07T04:36:00,2019-08-07T04:38:00,2019-08-07T04:36:00,2019-08-07T04:38:00,101,1485.59,1487.1082142857142,1.5182142857142986,1.8685714285714443,take_profit,False,1.5182142857142935,25.0,True,5.0,0.7166217127444353,0.5750168577208356,0.5514160485502355,0.5,live_rolling_pf,6.63051111833386,3.8126556683473996,947.2158740476943,951.0285297160417,True,B0_technical_control_S5_000049,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,562470,562471,2019-08-07T04:39:00,2019-08-07T04:40:00,2019-08-07T04:39:00,2019-08-07T04:40:00,101,1486.45,1487.95,1.5,1.788571428571439,take_profit,False,1.5,23.0,True,5.0,0.7430997876857711,0.6043878273177605,0.5796178343949014,0.5,live_rolling_pf,6.657199708012292,4.023530467545979,951.0285297160417,955.0520601835876,True,B0_technical_control_S5_000050,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,567645,567648,2019-08-12T22:02:00,2019-08-12T22:05:00,2019-08-12T22:02:00,2019-08-12T22:05:00,103,1509.13,1507.5722857142857,1.5,1.5577142857143242,stop_loss,False,-1.5577142857143826,23.0,True,5.0,-0.8713440946140677,-1.027968675083938,-1.0559373501678435,1.0,,13.370728842570227,-13.744690413203513,955.0520601835876,941.3073697703841,False,B0_technical_control_S5_000051,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,567663,567666,2019-08-12T22:20:00,2019-08-12T22:23:00,2019-08-12T22:20:00,2019-08-12T22:23:00,104,1511.91,1513.41,1.5,1.6205714285714359,take_profit,False,1.5,26.0,True,5.0,0.7976298997265238,0.6327863871163755,0.6061987237921581,0.5,live_post_loss_cap;live_rolling_pf,6.5891515883926886,4.169525427781136,941.3073697703841,945.4768951981652,True,B0_technical_control_S5_000052,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,569343,569343,2019-08-14T04:22:00,2019-08-14T04:22:00,2019-08-14T04:22:00,2019-08-14T04:22:00,110,1495.69,1497.2527857142857,1.5627857142856865,1.923428571428537,take_profit,False,1.56278571428561,22.0,True,5.0,0.7291055718474704,0.603139162889857,0.5798120501199286,0.5,live_rolling_pf,6.618338266387156,3.991779001710657,945.4768951981652,949.4686741998759,True,B0_technical_control_S5_000053,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,569344,569387,2019-08-14T04:23:00,2019-08-14T05:06:00,2019-08-14T04:23:00,2019-08-14T05:06:00,110,1496.08,1497.7347142857143,1.6547142857142587,2.036571428571395,take_profit,False,1.6547142857143626,23.0,True,5.0,0.7300516828438617,0.6065170805496458,0.5844573301399644,1.0,,13.292561438798263,8.062165556886722,949.4686741998759,957.5308397567626,True,B0_technical_control_S5_000054,1,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,572573,572587,2019-08-16T12:14:00,2019-08-16T12:28:00,2019-08-16T12:14:00,2019-08-16T12:28:00,118,1507.28,1508.78,1.5,1.356571428571442,take_profit,False,1.5,25.0,True,5.0,0.9336653032189144,0.7469322425751315,0.7158100658011677,1.0,,13.405431756594677,10.012949204641146,957.5308397567626,967.5437889614037,True,B0_technical_control_S5_000055,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,573280,573281,2019-08-19T01:03:00,2019-08-19T01:04:00,2019-08-19T01:03:00,2019-08-19T01:04:00,119,1508.39,1509.89,1.5,1.4228571428570962,take_profit,False,1.5,34.0,True,5.0,0.8508914100486449,0.6296596434359971,0.6012965964343757,1.0,,13.545613045459652,8.529125880326115,967.5437889614037,976.0729148417298,True,B0_technical_control_S5_000056,0,B0_technical_control,2018_2020
PAIRED_B0_technical_control,S5,573896,573925,2019-08-19T11:25:00,2019-08-19T11:54:00,2019-08-19T11:25:00,2019-08-19T11:54:00,121,1500.09,1501.59,1.5,1.5531428571429,take_profit,False,1.5,21.0,True,5.0,0.8507535245502953,0.7032895802949108,0.6749311294765676,1.0,,13.665020807784218,9.610466748627786,976.0729148417298,985.6833815903576,True,B0_technical_control_S5_000057,0,B0_technical_control,2018_2020
